epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,659.415,1.12878,2.75918,1.37164,0.59385,0.49632,0.48076,0.3675,1.35559,2.38834,1.57256,0.0671642,0.000331675,0.000331675
2,1282.44,1.10275,1.86374,1.34203,0.71876,0.50811,0.56011,0.43594,1.28165,1.97038,1.43951,0.0341422,0.000643063,0.000643063
3,1911.53,1.07752,1.67,1.32779,0.70409,0.58261,0.60359,0.45532,1.39873,1.86169,1.50332,0.00109829,0.000932451,0.000932451
4,2532.23,1.06546,1.57719,1.32359,0.794,0.62484,0.67254,0.54243,1.151,1.48759,1.36849,0.000901,0.000901,0.000901
5,3178.27,1.01134,1.44499,1.29453,0.83406,0.61581,0.68799,0.55642,1.10713,1.37886,1.30876,0.000868,0.000868,0.000868
6,3802.52,0.99234,1.37995,1.27898,0.81217,0.62313,0.67116,0.54892,1.05332,1.47649,1.27095,0.000835,0.000835,0.000835
7,4422.94,0.93912,1.30513,1.24419,0.86151,0.64837,0.7058,0.58609,1.02706,1.27306,1.23936,0.000802,0.000802,0.000802
8,5046.34,0.93176,1.26811,1.23686,0.86143,0.65987,0.70933,0.60256,1.01038,1.16678,1.23511,0.000769,0.000769,0.000769
9,5663.67,0.90552,1.20387,1.21552,0.87204,0.67822,0.72663,0.61817,0.9888,1.16397,1.22247,0.000736,0.000736,0.000736
10,6281.65,0.87165,1.16376,1.2021,0.85122,0.69107,0.7324,0.63637,0.91163,1.09608,1.1713,0.000703,0.000703,0.000703
11,6902.95,0.84651,1.11364,1.18201,0.87968,0.68102,0.73164,0.63157,0.8936,1.11959,1.15268,0.00067,0.00067,0.00067
12,7511.57,0.8376,1.10108,1.18138,0.87308,0.68443,0.73533,0.63413,0.89674,1.07627,1.16271,0.000637,0.000637,0.000637
13,8123.89,0.83365,1.09019,1.17602,0.88389,0.69224,0.73728,0.63844,0.86122,1.02426,1.13249,0.000604,0.000604,0.000604
14,8726.24,0.82214,1.07638,1.17752,0.88442,0.69823,0.74053,0.64364,0.88159,1.02098,1.14691,0.000571,0.000571,0.000571
15,9329.92,0.79627,1.02838,1.15875,0.8673,0.69819,0.74175,0.64518,0.86463,1.01412,1.12976,0.000538,0.000538,0.000538
16,9951.07,0.78457,0.99582,1.14221,0.89787,0.69539,0.74831,0.65468,0.84451,0.95767,1.1199,0.000505,0.000505,0.000505
17,10564.7,0.7658,0.97523,1.14402,0.93265,0.69835,0.75233,0.65783,0.84572,0.94804,1.11396,0.000472,0.000472,0.000472
18,11181.7,0.7518,0.94815,1.12633,0.89692,0.71293,0.75723,0.66802,0.81765,0.92207,1.0985,0.000439,0.000439,0.000439
19,11794.1,0.74454,0.94123,1.12708,0.88361,0.71929,0.76008,0.67213,0.81472,0.9052,1.10417,0.000406,0.000406,0.000406
20,12403.6,0.73847,0.92408,1.1211,0.89576,0.71324,0.75155,0.66561,0.82794,0.95459,1.11175,0.000373,0.000373,0.000373
21,13064.7,0.79428,0.96925,1.15537,0.85975,0.72295,0.75843,0.67236,0.80613,0.91466,1.09577,0.00034,0.00034,0.00034
22,13668.5,0.77932,0.9124,1.1491,0.86143,0.72651,0.76051,0.67454,0.78688,0.91103,1.08841,0.000307,0.000307,0.000307
